ISO,Energy,Units,Month,Year,Generation
PJM,Coal,billion kilowatthours,May,2011,30.86
PJM,Nuclear,billion kilowatthours,May,2011,20.69
PJM,Conventional hydropower,billion kilowatthours,May,2011,1.07
PJM,Nonhydro renewables,billion kilowatthours,May,2011,1.29
PJM,other energy sources,billion kilowatthours,May,2011,0.29
SERC,Natural gas,billion kilowatthours,May,2011,9.97
SERC,Coal,billion kilowatthours,May,2011,28.9
SERC,Nuclear,billion kilowatthours,May,2011,12.1
SERC,Conventional hydropower,billion kilowatthours,May,2011,2.03
SERC,Nonhydro renewables,billion kilowatthours,May,2011,0.17
SERC,other energy sources,billion kilowatthours,May,2011,-0.05
FRCC,Natural gas,billion kilowatthours,May,2011,11.39
FRCC,Coal,billion kilowatthours,May,2011,4.36
FRCC,Nuclear,billion kilowatthours,May,2011,1.75
FRCC,Conventional hydropower,billion kilowatthours,May,2011,0.02
FRCC,Nonhydro renewables,billion kilowatthours,May,2011,0.21
FRCC,other energy sources,billion kilowatthours,May,2011,0.41
MISO,Natural gas,billion kilowatthours,May,2011,7.45
MISO,Coal,billion kilowatthours,May,2011,31.59
MISO,Nuclear,billion kilowatthours,May,2011,8.07
MISO,Conventional hydropower,billion kilowatthours,May,2011,0.7
MISO,Nonhydro renewables,billion kilowatthours,May,2011,3.06
MISO,other energy sources,billion kilowatthours,May,2011,0.63
SPP,Natural gas,billion kilowatthours,May,2011,3.87
SPP,Coal,billion kilowatthours,May,2011,13.94
SPP,Nuclear,billion kilowatthours,May,2011,0.38
SPP,Conventional hydropower,billion kilowatthours,May,2011,1.98
SPP,Nonhydro renewables,billion kilowatthours,May,2011,1.65
SPP,other energy sources,billion kilowatthours,May,2011,0.12
ERCOT,Natural gas,billion kilowatthours,May,2011,10.33
ERCOT,Coal,billion kilowatthours,May,2011,10.74
ERCOT,Nuclear,billion kilowatthours,May,2011,3.38
ERCOT,Conventional hydropower,billion kilowatthours,May,2011,0.09
ERCOT,Nonhydro renewables,billion kilowatthours,May,2011,2.89
ERCOT,other energy sources,billion kilowatthours,May,2011,0.18
Northwest and Rockies,Natural gas,billion kilowatthours,May,2011,2.87
Northwest and Rockies,Coal,billion kilowatthours,May,2011,7.99
Northwest and Rockies,Nuclear,billion kilowatthours,May,2011,0
Northwest and Rockies,Conventional hydropower,billion kilowatthours,May,2011,16.74
Northwest and Rockies,Nonhydro renewables,billion kilowatthours,May,2011,2.44
Northwest and Rockies,other energy sources,billion kilowatthours,May,2011,0.03
Southwest,Natural gas,billion kilowatthours,May,2011,1.59
Southwest,Coal,billion kilowatthours,May,2011,5.12
Southwest,Nuclear,billion kilowatthours,May,2011,2.7
Southwest,Conventional hydropower,billion kilowatthours,May,2011,1.08
Southwest,Nonhydro renewables,billion kilowatthours,May,2011,0.58
Southwest,other energy sources,billion kilowatthours,May,2011,0.03
CAISO,Natural gas,billion kilowatthours,May,2011,3.61
CAISO,Coal,billion kilowatthours,May,2011,1.19
CAISO,Nuclear,billion kilowatthours,May,2011,2.52
CAISO,Conventional hydropower,billion kilowatthours,May,2011,5.04
CAISO,Nonhydro renewables,billion kilowatthours,May,2011,2.26
CAISO,other energy sources,billion kilowatthours,May,2011,0.15
ISO-NE,Natural gas,billion kilowatthours,June,2011,4.8
ISO-NE,Coal,billion kilowatthours,June,2011,0.47
ISO-NE,Nuclear,billion kilowatthours,June,2011,3.23
ISO-NE,Conventional hydropower,billion kilowatthours,June,2011,0.66
ISO-NE,Nonhydro renewables,billion kilowatthours,June,2011,0.47
ISO-NE,other energy sources,billion kilowatthours,June,2011,0.16
NYISO,Natural gas,billion kilowatthours,June,2011,4.78
NYISO,Coal,billion kilowatthours,June,2011,0.95
NYISO,Nuclear,billion kilowatthours,June,2011,3.62
NYISO,Conventional hydropower,billion kilowatthours,June,2011,2.51
NYISO,Nonhydro renewables,billion kilowatthours,June,2011,0.33
NYISO,other energy sources,billion kilowatthours,June,2011,0.15
PJM,Natural gas,billion kilowatthours,June,2011,9.23
PJM,Coal,billion kilowatthours,June,2011,38.61
PJM,Nuclear,billion kilowatthours,June,2011,21.13
PJM,Conventional hydropower,billion kilowatthours,June,2011,0.66
PJM,Nonhydro renewables,billion kilowatthours,June,2011,1.15
PJM,other energy sources,billion kilowatthours,June,2011,0.28
SERC,Natural gas,billion kilowatthours,June,2011,12.36
SERC,Coal,billion kilowatthours,June,2011,32.64
SERC,Nuclear,billion kilowatthours,June,2011,16.06
SERC,Conventional hydropower,billion kilowatthours,June,2011,1.88
SERC,Nonhydro renewables,billion kilowatthours,June,2011,0.18
SERC,other energy sources,billion kilowatthours,June,2011,-0.17
FRCC,Natural gas,billion kilowatthours,June,2011,12.48
FRCC,Coal,billion kilowatthours,June,2011,4.69
FRCC,Nuclear,billion kilowatthours,June,2011,2.23
FRCC,Conventional hydropower,billion kilowatthours,June,2011,0.01
FRCC,Nonhydro renewables,billion kilowatthours,June,2011,0.21
FRCC,other energy sources,billion kilowatthours,June,2011,0.4
MISO,Natural gas,billion kilowatthours,June,2011,8.63
MISO,Coal,billion kilowatthours,June,2011,35.81
MISO,Nuclear,billion kilowatthours,June,2011,8.85
MISO,Conventional hydropower,billion kilowatthours,June,2011,0.9
MISO,Nonhydro renewables,billion kilowatthours,June,2011,2.37
MISO,other energy sources,billion kilowatthours,June,2011,0.72
SPP,Natural gas,billion kilowatthours,June,2011,6.63
SPP,Coal,billion kilowatthours,June,2011,15.74
SPP,Nuclear,billion kilowatthours,June,2011,0.57
SPP,Conventional hydropower,billion kilowatthours,June,2011,1.72
SPP,Nonhydro renewables,billion kilowatthours,June,2011,1.57
SPP,other energy sources,billion kilowatthours,June,2011,0.15
ERCOT,Natural gas,billion kilowatthours,June,2011,14.37
ERCOT,Coal,billion kilowatthours,June,2011,11.91
ERCOT,Nuclear,billion kilowatthours,June,2011,3.65
ERCOT,Conventional hydropower,billion kilowatthours,June,2011,0.09
ERCOT,Nonhydro renewables,billion kilowatthours,June,2011,3.13
ERCOT,other energy sources,billion kilowatthours,June,2011,0.22
Northwest and Rockies,Natural gas,billion kilowatthours,June,2011,2.91
Northwest and Rockies,Coal,billion kilowatthours,June,2011,8.78
Northwest and Rockies,Nuclear,billion kilowatthours,June,2011,0
Northwest and Rockies,Conventional hydropower,billion kilowatthours,June,2011,17.39
Northwest and Rockies,Nonhydro renewables,billion kilowatthours,June,2011,2.44
Northwest and Rockies,other energy sources,billion kilowatthours,June,2011,0.04
Southwest,Natural gas,billion kilowatthours,June,2011,2.82
Southwest,Coal,billion kilowatthours,June,2011,5.77
Southwest,Nuclear,billion kilowatthours,June,2011,2.86
Southwest,Conventional hydropower,billion kilowatthours,June,2011,1.19
Southwest,Nonhydro renewables,billion kilowatthours,June,2011,0.54
Southwest,other energy sources,billion kilowatthours,June,2011,0.04
CAISO,Natural gas,billion kilowatthours,June,2011,4.12
CAISO,Coal,billion kilowatthours,June,2011,1.21
CAISO,Nuclear,billion kilowatthours,June,2011,3.09
CAISO,Conventional hydropower,billion kilowatthours,June,2011,4.9
CAISO,Nonhydro renewables,billion kilowatthours,June,2011,2.27
CAISO,other energy sources,billion kilowatthours,June,2011,0.13
ISO-NE,Natural gas,billion kilowatthours,July,2011,6.53
ISO-NE,Coal,billion kilowatthours,July,2011,0.94
ISO-NE,Nuclear,billion kilowatthours,July,2011,3.42
ISO-NE,Conventional hydropower,billion kilowatthours,July,2011,0.37
